Student,Assignment,Activity,Scoring Guide,Nancy Stephenson Score,Angela Ross Score,Active Score
113,299,PSM_Pretest_2020_C,Pop.04.2_OE,,MAPc1,MAPc1
114,300,PSM_Pretest_2020_B,Pop.04.2_OE,,MAPc1,MAPc0
115,301,PSM_Pretest_2020_A(c),Pop.04.2_OE,,MAPc2,
117,303,PSM_Pretest_2020_E(c),Pop.04.2_OE,,MAPc2,
118,304,PSM_Pretest_2020_D(c),Pop.04.2_OE,,MAPc3,
119,305,PSM_Pretest_2020_C,Pop.04.2_OE,,MAPc0,MAPc0
120,306,PSM_Pretest_2020_B,Pop.04.2_OE,,MAPc2,MAPc1
121,307,PSM_Pretest_2020_A(c),Pop.04.2_OE,,MAPc2,MAPc2
122,308,PSM_Pretest_2020_F,Pop.04.2_OE,,MAPc1,
124,310,PSM_Pretest_2020_D(c),Pop.04.2_OE,,MAPc2,
125,311,PSM_Pretest_2020_C,Pop.04.2_OE,,MAPc3,
126,312,PSM_Pretest_2020_B,Pop.04.2_OE,,MAPc2,
131,317,PSM_Pretest_2020_A(c),Pop.04.2_OE,,MAPc0,
134,320,PSM_Pretest_2020_D(c),Pop.04.2_OE,,MAPc1,MAPc0
135,321,PSM_Pretest_2020_C,Pop.04.2_OE,,MAPc3,MAPc3
136,322,PSM_Pretest_2020_B,Pop.04.2_OE,,MAPc3,
137,323,PSM_Pretest_2020_A(c),Pop.04.2_OE,,MAPc3,MAPc3
141,327,PSM_Pretest_2020_C,Pop.04.2_OE,,MAPc2,
142,328,PSM_Pretest_2020_B,Pop.04.2_OE,,MAPc3,
143,329,PSM_Pretest_2020_A(c),Pop.04.2_OE,,MAPc2,
147,333,PSM_Pretest_2020_C,Pop.04.2_OE,,MAPc3,
148,334,PSM_Pretest_2020_B,Pop.04.2_OE,,MAPc3,
149,335,PSM_Pretest_2020_A(c),Pop.04.2_OE,,MAPc1,
152,338,PSM_Pretest_2020_D(c),Pop.04.2_OE,,MAPc3,MAPc3
153,339,PSM_Pretest_2020_C,Pop.04.2_OE,,MAPc2,
156,342,PSM_Pretest_2020_B,Pop.04.2_OE,,MAPc0,MAPc0
157,343,PSM_Pretest_2020_A(c),Pop.04.2_OE,,MAPc3,
161,347,PSM_Pretest_2020_C,Pop.04.2_OE,,MAPc1,MAPc1
162,348,PSM_Pretest_2020_B,Pop.04.2_OE,,MAPc2,MAPc2
163,349,PSM_Pretest_2020_A(c),Pop.04.2_OE,,MAPc3,
167,353,PSM_Pretest_2020_C,Pop.04.2_OE,,MAPc3,
168,354,PSM_Pretest_2020_B,Pop.04.2_OE,,MAPc2,MAPc2
169,355,PSM_Pretest_2020_A(c),Pop.04.2_OE,,MAPc2,
173,359,PSM_Pretest_2020_C,Pop.04.2_OE,,MAPc2,
174,360,PSM_Pretest_2020_B,Pop.04.2_OE,,MAPc3,
175,361,PSM_Pretest_2020_A(c),Pop.04.2_OE,,MAPc3,
182,368,PSM_Pretest_2020_C,Pop.04.2_OE,,MAPc0,MAPc1
184,370,PSM_Pretest_2020_A(c),Pop.04.2_OE,,MAPc2,MAPc2
187,373,PSM_Pretest_2020_D(c),Pop.04.2_OE,,MAPc1,MAPc1
188,374,PSM_Pretest_2020_C,Pop.04.2_OE,,MAPc3,
190,376,PSM_Pretest_2020_A(c),Pop.04.2_OE,,MAPc3,
194,380,PSM_Pretest_2020_C,Pop.04.2_OE,,MAPc2,
196,382,PSM_Pretest_2020_A(c),Pop.04.2_OE,,MAPc3,
201,387,PSM_Pretest_2020_C,Pop.04.2_OE,,MAPc3,
202,388,PSM_Pretest_2020_B,Pop.04.2_OE,,MAPc3,
205,391,PSM_Pretest_2020_A(c),Pop.04.2_OE,,MAPc3,
206,392,PSM_Pretest_2020_F,Pop.04.2_OE,,MAPc1,MAPc1
208,394,PSM_Pretest_2020_D(c),Pop.04.2_OE,,MAPc2,MAPc1
210,396,PSM_Pretest_2020_C,Pop.04.2_OE,,MAPc3,
211,397,PSM_Pretest_2020_B,Pop.04.2_OE,,MAPc2,
213,399,PSM_Pretest_2020_A(c),Pop.04.2_OE,,MAPc3,
217,403,PSM_Pretest_2020_C,Pop.04.2_OE,,MAPc2,
218,404,PSM_Pretest_2020_B,Pop.04.2_OE,,MAPc2,
219,405,PSM_Pretest_2020_A(c),Pop.04.2_OE,,MAPc0,
220,406,PSM_Pretest_2020_F,Pop.04.2_OE,,MAPc2,MAPc2
222,408,PSM_Pretest_2020_D(c),Pop.04.2_OE,,MAPc2,MAPc2
223,409,PSM_Pretest_2020_C,Pop.04.2_OE,,MAPc2,MAPc2
224,410,PSM_Pretest_2020_B,Pop.04.2_OE,,MAPc3,
225,411,PSM_Pretest_2020_A(c),Pop.04.2_OE,,MAPc3,
226,412,PSM_Pretest_2020_F,Pop.04.2_OE,,MAPc3,MAPc3
229,415,PSM_Pretest_2020_C,Pop.04.2_OE,,MAPc3,
